Date,Mkt-RF,SMB,HML,RF
-0--1-91--,-0.68,-0.18,-0.01,0.02
-0--2-91--,-0.09,-0.06,-0.05,0.02
-0--2-91--,0.72,-0.24,-0.14,0.02
-0--2-91--,-0.24,0.04,0.01,0.02
-0--2-91--,0.34,-0.12,-0.1,0.02
-0--2-91--,0.03,0.05,0.13,0.02
-0--2-91--,-0.1,0.01,0.03,0.02
-0--2-91--,0.49,-0.1,-0.05,0.02
-0--2-91--,0.01,-0.01,0.26,0.02
-0--3-91--,0.58,-0.24,-0.09,0.02
-0--3-91--,0.29,-0.25,0.33,0.02
-0--0-91--,-0.21,0.29,0.41,0.02
-0--0-91--,-0.22,0.31,0.08,0.02
-0--0-91--,-0.58,0.32,0.18,0.02
-0--0-91--,-0.42,0.11,0.24,0.02
-0--0-91--,-0.97,0.36,0.07,0.02
-0--1-91--,-0.95,0.64,0.35,0.02
-0--1-91--,0.48,-0.66,-0.09,0.02
-0--1-91--,-1.0,0.05,-0.04,0.02
-0--1-91--,0.28,-0.32,-0.06,0.02
-0--1-91--,0.86,-0.32,-0.24,0.02
-0--1-91--,-0.47,0.38,0.16,0.02
-0--1-91--,-0.67,0.12,0.08,0.02
-0--1-91--,-0.89,0.51,0.29,0.02
-0--2-91--,0.31,-0.4,-0.22,0.02
-0--2-91--,0.33,-0.4,-0.15,0.02
-0--2-91--,-1.12,0.47,0.27,0.02
-0--2-91--,-0.15,-0.63,-0.01,0.02
-0--2-91--,0.09,0.05,-0.12,0.02
-0--2-91--,-0.05,-0.06,-0.21,0.02
-0--2-91--,-0.86,0.56,0.18,0.02
-0--0-91--,1.36,-1.13,-0.37,0.02
-0--0-91--,-0.31,0.01,0.02,0.02
-0--0-91--,-1.5,0.69,0.06,0.02
-0--0-91--,-0.37,-0.08,0.19,0.02
-0--0-91--,0.25,-0.16,0.14,0.02
-0--0-91--,-0.77,0.53,-0.13,0.02
-0--0-91--,0.39,-0.72,0.28,0.02
-0--1-91--,1.06,-0.4,-0.18,0.02
-0--1-91--,-0.12,0.02,-0.07,0.02
-0--1-91--,1.42,0.05,-0.29,0.02
-0--1-91--,0.84,-0.22,-0.18,0.02
-0--1-91--,-0.36,0.26,0.1,0.02
-0--1-91--,-0.21,0.3,0.01,0.02
-0--1-91--,0.33,0.01,0.06,0.02
-0--1-91--,0.37,0.23,0.25,0.02
-0--2-91--,-0.62,0.11,0.16,0.02
-0--2-91--,-0.1,-0.21,0.24,0.02
-0--2-91--,0.48,-0.19,-0.08,0.02
-0--2-91--,-0.46,-0.11,0.02,0.02
-0--2-91--,0.73,-0.23,0.01,0.02
-0--2-91--,-0.2,-0.17,-0.1,0.02
-0--3-91--,0.72,-0.42,-0.32,0.02
-0--3-91--,0.52,0.09,-0.24,0.02
-0--0-91--,-0.3,0.05,-0.08,0.02
-0--0-91--,0.51,0.09,-0.04,0.02
-0--0-91--,-0.23,0.43,0.01,0.02
-0--0-91--,0.25,-0.16,-0.17,0.02
-0--0-91--,0.32,-0.24,-0.07,0.02
-0--0-91--,-0.5,0.16,-0.05,0.02
-0--0-91--,-0.71,0.33,0.0,0.02
-0--1-91--,-0.38,0.12,0.1,0.02
-0--1-91--,-0.03,-0.2,0.13,0.02
-0--1-91--,0.5,-0.48,-0.09,0.02
-0--1-91--,-0.36,0.28,-0.06,0.02
-0--1-91--,-1.09,0.32,-0.15,0.02
-0--1-91--,-4.84,0.84,-0.51,0.02
